sex	age	l	m	s	loh
1	0	-0.3053	13.4069	0.0956	L
1	1	-0.1867	13.3976	0.09597	L
1	2	-0.0681	13.3883	0.09634	L
1	3	0.0505	13.3791	0.09672	L
1	4	0.169	13.3698	0.09709	L
1	5	0.2876	13.3606	0.09746	L
1	6	0.4062	13.3513	0.09784	L
1	7	0.5247	13.3421	0.09821	L
1	8	0.5094	13.3843	0.09769	L
1	9	0.4941	13.4265	0.09716	L
1	10	0.4789	13.4687	0.09664	L
1	11	0.4636	13.511	0.09611	L
1	12	0.4483	13.5532	0.09559	L
1	13	0.433	13.5954	0.09507	L
1	14	0.4177	13.6377	0.09454	L
1	15	0.4059	13.7174	0.09416	L
1	16	0.3946	13.8006	0.0938	L
1	17	0.3839	13.8854	0.09347	L
1	18	0.3735	13.9707	0.09315	L
1	19	0.3636	14.0558	0.09285	L
1	20	0.3541	14.1404	0.09257	L
1	21	0.3449	14.2241	0.0923	L
1	22	0.336	14.3065	0.09204	L
1	23	0.3274	14.3877	0.0918	L
1	24	0.3191	14.4675	0.09156	L
1	25	0.311	14.5457	0.09134	L
1	26	0.3032	14.6225	0.09112	L
1	27	0.2955	14.6977	0.09092	L
1	28	0.2881	14.7714	0.09072	L
1	29	0.2809	14.8436	0.09053	L
1	30	0.2738	14.914	0.09035	L
1	31	0.2669	14.9822	0.09017	L
1	32	0.2602	15.0485	0.09	L
1	33	0.2536	15.1127	0.08984	L
1	34	0.2472	15.175	0.08968	L
1	35	0.2409	15.2355	0.08953	L
1	36	0.2348	15.2942	0.08938	L
1	37	0.2287	15.3511	0.08924	L
1	38	0.2228	15.4062	0.0891	L
1	39	0.217	15.4597	0.08897	L
1	40	0.2113	15.5115	0.08884	L
1	41	0.2058	15.5618	0.08871	L
1	42	0.2003	15.6107	0.08859	L
1	43	0.1949	15.6582	0.08847	L
1	44	0.1896	15.7043	0.08835	L
1	45	0.1844	15.7492	0.08824	L
1	46	0.1793	15.7929	0.08813	L
1	47	0.1743	15.8353	0.08802	L
1	48	0.1693	15.8767	0.08792	L
1	49	0.1645	15.9169	0.08782	L
1	50	0.1597	15.956	0.08772	L
1	51	0.155	15.9941	0.08762	L
1	52	0.1503	16.0311	0.08753	L
1	53	0.1457	16.0672	0.08743	L
1	54	0.1412	16.1023	0.08734	L
1	55	0.1368	16.1365	0.08725	L
1	56	0.1324	16.1698	0.08717	L
1	57	0.128	16.2021	0.08708	L
1	58	0.1238	16.2336	0.087	L
1	59	0.1196	16.2642	0.08692	L
1	60	0.1154	16.2941	0.08684	L
1	61	0.1113	16.3231	0.08676	L
1	62	0.1072	16.3513	0.08669	L
1	63	0.1032	16.3787	0.08661	L
1	64	0.0993	16.4053	0.08654	L
1	65	0.0954	16.4312	0.08646	L
1	66	0.0915	16.4562	0.08639	L
1	67	0.0877	16.4806	0.08632	L
1	68	0.084	16.5042	0.08626	L
1	69	0.0803	16.5271	0.08619	L
1	70	0.0766	16.5494	0.08612	L
1	71	0.0729	16.571	0.08606	L
1	72	0.0693	16.592	0.08599	L
1	73	0.0658	16.6124	0.08593	L
1	74	0.0623	16.6321	0.08587	L
1	75	0.0588	16.6514	0.08581	L
1	76	0.0554	16.67	0.08575	L
1	77	0.052	16.6882	0.08569	L
1	78	0.0486	16.7058	0.08564	L
1	79	0.0452	16.7229	0.08558	L
1	80	0.0419	16.7396	0.08552	L
1	81	0.0387	16.7557	0.08547	L
1	82	0.0354	16.7715	0.08541	L
1	83	0.0322	16.7867	0.08536	L
1	84	0.0291	16.8016	0.08531	L
1	85	0.0259	16.8161	0.08526	L
1	86	0.0228	16.8301	0.08521	L
1	87	0.0197	16.8438	0.08516	L
1	88	0.0167	16.8571	0.08511	L
1	89	0.0137	16.8701	0.08506	L
1	90	0.0107	16.8827	0.08501	L
1	91	0.0077	16.895	0.08496	L
1	92	0.0048	16.9069	0.08492	L
1	93	0.0018	16.9186	0.08487	L
1	94	-0.0011	16.9299	0.08483	L
1	95	-0.0039	16.941	0.08478	L
1	96	-0.0068	16.9518	0.08474	L
1	97	-0.0096	16.9623	0.0847	L
1	98	-0.0124	16.9725	0.08465	L
1	99	-0.0151	16.9825	0.08461	L
1	100	-0.0179	16.9923	0.08457	L
1	101	-0.0206	17.0018	0.08453	L
1	102	-0.0233	17.0111	0.08449	L
1	103	-0.026	17.0201	0.08445	L
1	104	-0.0287	17.029	0.08441	L
1	105	-0.0313	17.0376	0.08437	L
1	106	-0.0339	17.0461	0.08433	L
1	107	-0.0365	17.0544	0.08429	L
1	108	-0.0391	17.0624	0.08426	L
1	109	-0.0416	17.0704	0.08422	L
1	110	-0.0442	17.0781	0.08418	L
1	111	-0.0467	17.0857	0.08415	L
1	112	-0.0492	17.0931	0.08411	L
1	113	-0.0517	17.1003	0.08408	L
1	114	-0.0541	17.1074	0.08404	L
1	115	-0.0566	17.1144	0.08401	L
1	116	-0.059	17.1212	0.08397	L
1	117	-0.0614	17.1279	0.08394	L
1	118	-0.0638	17.1344	0.08391	L
1	119	-0.0662	17.1409	0.08387	L
1	120	-0.0686	17.1472	0.08384	L
1	121	-0.0709	17.1533	0.08381	L
1	122	-0.0732	17.1594	0.08378	L
1	123	-0.0756	17.1653	0.08375	L
1	124	-0.0779	17.1712	0.08371	L
1	125	-0.0801	17.1769	0.08368	L
1	126	-0.0824	17.1825	0.08365	L
1	127	-0.0847	17.188	0.08362	L
1	128	-0.0869	17.1934	0.08359	L
1	129	-0.0891	17.1987	0.08356	L
1	130	-0.0913	17.2038	0.08354	L
1	131	-0.0935	17.2089	0.08351	L
1	132	-0.0957	17.2138	0.08348	L
1	133	-0.0979	17.2187	0.08345	L
1	134	-0.1	17.2234	0.08342	L
1	135	-0.1022	17.2281	0.0834	L
1	136	-0.1043	17.2326	0.08337	L
1	137	-0.1064	17.237	0.08334	L
1	138	-0.1085	17.2414	0.08332	L
1	139	-0.1106	17.2456	0.08329	L
1	140	-0.1127	17.2497	0.08326	L
1	141	-0.1147	17.2537	0.08324	L
1	142	-0.1168	17.2576	0.08321	L
1	143	-0.1188	17.2615	0.08319	L
1	144	-0.1208	17.2652	0.08316	L
1	145	-0.1229	17.2688	0.08314	L
1	146	-0.1249	17.2723	0.08311	L
1	147	-0.1269	17.2757	0.08309	L
1	148	-0.1288	17.2791	0.08306	L
1	149	-0.1308	17.2823	0.08304	L
1	150	-0.1328	17.2854	0.08302	L
1	151	-0.1347	17.2885	0.08299	L
1	152	-0.1366	17.2914	0.08297	L
1	153	-0.1386	17.2943	0.08295	L
1	154	-0.1405	17.297	0.08292	L
1	155	-0.1424	17.2997	0.0829	L
1	156	-0.1443	17.3023	0.08288	L
1	157	-0.1462	17.3048	0.08285	L
1	158	-0.148	17.3072	0.08283	L
1	159	-0.1499	17.3095	0.08281	L
1	160	-0.1518	17.3117	0.08279	L
1	161	-0.1536	17.3139	0.08277	L
1	162	-0.1554	17.316	0.08275	L
1	163	-0.1573	17.318	0.08272	L
1	164	-0.1591	17.3199	0.0827	L
1	165	-0.1609	17.3218	0.08268	L
1	166	-0.1627	17.3235	0.08266	L
1	167	-0.1645	17.3252	0.08264	L
1	168	-0.1663	17.3268	0.08262	L
1	169	-0.168	17.3284	0.0826	L
1	170	-0.1698	17.3299	0.08258	L
1	171	-0.1715	17.3313	0.08256	L
1	172	-0.1733	17.3326	0.08254	L
1	173	-0.175	17.3338	0.08252	L
1	174	-0.1768	17.335	0.0825	L
1	175	-0.1785	17.3361	0.08248	L
1	176	-0.1802	17.3371	0.08246	L
1	177	-0.1819	17.3381	0.08244	L
1	178	-0.1836	17.339	0.08242	L
1	179	-0.1853	17.3398	0.08241	L
1	180	-0.187	17.3406	0.08239	L
1	181	-0.1886	17.3412	0.08237	L
1	182	-0.1903	17.3419	0.08235	L
1	183	-0.1919	17.3424	0.08233	L
1	184	-0.1936	17.3429	0.08231	L
1	185	-0.1952	17.3433	0.0823	L
1	186	-0.1969	17.3437	0.08228	L
1	187	-0.1985	17.3439	0.08226	L
1	188	-0.2001	17.3441	0.08224	L
1	189	-0.2017	17.3443	0.08222	L
1	190	-0.2033	17.3444	0.08221	L
1	191	-0.2049	17.3444	0.08219	L
1	192	-0.2065	17.3443	0.08217	L
1	193	-0.2081	17.3442	0.08216	L
1	194	-0.2097	17.344	0.08214	L
1	195	-0.2112	17.3438	0.08212	L
1	196	-0.2128	17.3434	0.0821	L
1	197	-0.2144	17.3431	0.08209	L
1	198	-0.2159	17.3426	0.08207	L
1	199	-0.2174	17.3421	0.08205	L
1	200	-0.219	17.3416	0.08204	L
1	201	-0.2205	17.3409	0.08202	L
1	202	-0.222	17.3402	0.08201	L
1	203	-0.2235	17.3395	0.08199	L
1	204	-0.2251	17.3387	0.08197	L
1	205	-0.2266	17.3378	0.08196	L
1	206	-0.2281	17.3369	0.08194	L
1	207	-0.2295	17.3359	0.08193	L
1	208	-0.231	17.3349	0.08191	L
1	209	-0.2325	17.3338	0.08189	L
1	210	-0.234	17.3326	0.08188	L
1	211	-0.2354	17.3314	0.08186	L
1	212	-0.2369	17.3302	0.08185	L
1	213	-0.2384	17.3289	0.08183	L
1	214	-0.2398	17.3275	0.08182	L
1	215	-0.2413	17.3261	0.0818	L
1	216	-0.2427	17.3246	0.08179	L
1	217	-0.2441	17.323	0.08177	L
1	218	-0.2456	17.3215	0.08176	L
1	219	-0.247	17.3198	0.08174	L
1	220	-0.2484	17.3181	0.08173	L
1	221	-0.2498	17.3164	0.08171	L
1	222	-0.2512	17.3146	0.0817	L
1	223	-0.2526	17.3127	0.08168	L
1	224	-0.254	17.3108	0.08167	L
1	225	-0.2554	17.3089	0.08165	L
1	226	-0.2568	17.3069	0.08164	L
1	227	-0.2581	17.3048	0.08163	L
1	228	-0.2595	17.3027	0.08161	L
1	229	-0.2609	17.3006	0.0816	L
1	230	-0.2622	17.2984	0.08158	L
1	231	-0.2636	17.2962	0.08157	L
1	232	-0.265	17.2939	0.08155	L
1	233	-0.2663	17.2916	0.08154	L
1	234	-0.2676	17.2892	0.08153	L
1	235	-0.269	17.2868	0.08151	L
1	236	-0.2703	17.2844	0.0815	L
1	237	-0.2716	17.2819	0.08149	L
1	238	-0.273	17.2794	0.08147	L
1	239	-0.2743	17.2768	0.08146	L
1	240	-0.2756	17.2742	0.08145	L
1	241	-0.2769	17.2715	0.08143	L
1	242	-0.2782	17.2688	0.08142	L
1	243	-0.2795	17.2661	0.08141	L
1	244	-0.2808	17.2633	0.08139	L
1	245	-0.2821	17.2605	0.08138	L
1	246	-0.2834	17.2577	0.08137	L
1	247	-0.2847	17.2548	0.08135	L
1	248	-0.2859	17.2519	0.08134	L
1	249	-0.2872	17.249	0.08133	L
1	250	-0.2885	17.246	0.08131	L
1	251	-0.2898	17.243	0.0813	L
1	252	-0.291	17.2399	0.08129	L
1	253	-0.2923	17.2368	0.08128	L
1	254	-0.2935	17.2337	0.08126	L
1	255	-0.2948	17.2306	0.08125	L
1	256	-0.296	17.2274	0.08124	L
1	257	-0.2972	17.2242	0.08122	L
1	258	-0.2985	17.221	0.08121	L
1	259	-0.2997	17.2177	0.0812	L
1	260	-0.3009	17.2144	0.08119	L
1	261	-0.3022	17.2111	0.08117	L
1	262	-0.3034	17.2078	0.08116	L
1	263	-0.3046	17.2044	0.08115	L
1	264	-0.3058	17.2011	0.08114	L
1	265	-0.307	17.1976	0.08113	L
1	266	-0.3082	17.1942	0.08111	L
1	267	-0.3094	17.1908	0.0811	L
1	268	-0.3106	17.1873	0.08109	L
1	269	-0.3118	17.1838	0.08108	L
1	270	-0.313	17.1803	0.08107	L
1	271	-0.3142	17.1767	0.08105	L
1	272	-0.3153	17.1731	0.08104	L
1	273	-0.3165	17.1696	0.08103	L
1	274	-0.3177	17.1659	0.08102	L
1	275	-0.3189	17.1623	0.08101	L
1	276	-0.32	17.1587	0.08099	L
1	277	-0.3212	17.155	0.08098	L
1	278	-0.3223	17.1513	0.08097	L
1	279	-0.3235	17.1476	0.08096	L
1	280	-0.3246	17.1439	0.08095	L
1	281	-0.3258	17.1402	0.08094	L
1	282	-0.3269	17.1364	0.08093	L
1	283	-0.3281	17.1326	0.08091	L
1	284	-0.3292	17.1288	0.0809	L
1	285	-0.3303	17.125	0.08089	L
1	286	-0.3315	17.1212	0.08088	L
1	287	-0.3326	17.1174	0.08087	L
1	288	-0.3337	17.1135	0.08086	L
1	289	-0.3348	17.1097	0.08085	L
1	290	-0.3359	17.1058	0.08084	L
1	291	-0.3371	17.1019	0.08082	L
1	292	-0.3382	17.098	0.08081	L
1	293	-0.3393	17.0941	0.0808	L
1	294	-0.3404	17.0901	0.08079	L
1	295	-0.3415	17.0862	0.08078	L
1	296	-0.3426	17.0823	0.08077	L
1	297	-0.3437	17.0783	0.08076	L
1	298	-0.3448	17.0743	0.08075	L
1	299	-0.3458	17.0703	0.08074	L
1	300	-0.3469	17.0663	0.08073	L
1	301	-0.348	17.0623	0.08071	L
1	302	-0.3491	17.0583	0.0807	L
1	303	-0.3502	17.0543	0.08069	L
1	304	-0.3512	17.0503	0.08068	L
1	305	-0.3523	17.0463	0.08067	L
1	306	-0.3534	17.0422	0.08066	L
1	307	-0.3544	17.0382	0.08065	L
1	308	-0.3555	17.0341	0.08064	L
1	309	-0.3565	17.0301	0.08063	L
1	310	-0.3576	17.026	0.08062	L
1	311	-0.3586	17.0219	0.08061	L
1	312	-0.3597	17.0178	0.0806	L
1	313	-0.3607	17.0138	0.08059	L
1	314	-0.3618	17.0097	0.08058	L
1	315	-0.3628	17.0056	0.08057	L
1	316	-0.3638	17.0015	0.08056	L
1	317	-0.3649	16.9974	0.08055	L
1	318	-0.3659	16.9933	0.08054	L
1	319	-0.3669	16.9892	0.08053	L
1	320	-0.3679	16.985	0.08052	L
1	321	-0.369	16.9809	0.08051	L
1	322	-0.37	16.9768	0.0805	L
1	323	-0.371	16.9727	0.08049	L
1	324	-0.372	16.9686	0.08048	L
1	325	-0.373	16.9644	0.08047	L
1	326	-0.374	16.9603	0.08046	L
1	327	-0.375	16.9562	0.08045	L
1	328	-0.376	16.9521	0.08044	L
1	329	-0.377	16.9479	0.08043	L
1	330	-0.378	16.9438	0.08042	L
1	331	-0.379	16.9397	0.08041	L
1	332	-0.38	16.9355	0.0804	L
1	333	-0.381	16.9314	0.08039	L
1	334	-0.382	16.9273	0.08038	L
1	335	-0.383	16.9231	0.08037	L
1	336	-0.3839	16.919	0.08036	L
1	337	-0.3849	16.9148	0.08035	L
