sex	age	l	m	s
1	91	-0.303	7.692	0.17019
1	92	-0.3039	7.6853	0.17022
1	93	-0.3047	7.6787	0.17025
1	94	-0.3056	7.6721	0.17027
1	95	-0.3064	7.6654	0.1703
1	96	-0.3072	7.6589	0.17032
1	97	-0.3081	7.6523	0.17035
1	98	-0.3089	7.6458	0.17038
1	99	-0.3097	7.6393	0.1704
1	100	-0.3106	7.6328	0.17043
1	101	-0.3114	7.6263	0.17045
1	102	-0.3122	7.6198	0.17048
1	103	-0.313	7.6134	0.1705
1	104	-0.3138	7.607	0.17053
1	105	-0.3146	7.6006	0.17055
1	106	-0.3154	7.5943	0.17058
1	107	-0.3162	7.588	0.17061
1	108	-0.317	7.5816	0.17063
1	109	-0.3178	7.5753	0.17066
1	110	-0.3186	7.5691	0.17068
1	111	-0.3194	7.5628	0.1707
1	112	-0.3202	7.5566	0.17073
1	113	-0.321	7.5504	0.17075
1	114	-0.3218	7.5442	0.17078
1	115	-0.3226	7.538	0.1708
1	116	-0.3234	7.5318	0.17083
1	117	-0.3242	7.5257	0.17085
1	118	-0.3249	7.5196	0.17088
1	119	-0.3257	7.5135	0.1709
1	120	-0.3265	7.5074	0.17092
1	121	-0.3272	7.5013	0.17095
1	122	-0.328	7.4953	0.17097
1	123	-0.3288	7.4893	0.171
1	124	-0.3295	7.4833	0.17102
1	125	-0.3303	7.4773	0.17104
1	126	-0.3311	7.4713	0.17107
1	127	-0.3318	7.4653	0.17109
1	128	-0.3326	7.4594	0.17111
1	129	-0.3333	7.4535	0.17114
1	130	-0.3341	7.4476	0.17116
1	131	-0.3348	7.4417	0.17118
1	132	-0.3356	7.4358	0.17121
1	133	-0.3363	7.43	0.17123
1	134	-0.3371	7.4241	0.17125
1	135	-0.3378	7.4183	0.17128
1	136	-0.3386	7.4125	0.1713
1	137	-0.3393	7.4067	0.17132
1	138	-0.34	7.4009	0.17135
1	139	-0.3408	7.3952	0.17137
1	140	-0.3415	7.3894	0.17139
1	141	-0.3422	7.3837	0.17142
1	142	-0.343	7.378	0.17144
1	143	-0.3437	7.3723	0.17146
1	144	-0.3444	7.3666	0.17148
1	145	-0.3451	7.361	0.17151
1	146	-0.3458	7.3553	0.17153
1	147	-0.3466	7.3497	0.17155
1	148	-0.3473	7.3441	0.17157
1	149	-0.348	7.3385	0.1716
1	150	-0.3487	7.3329	0.17162
1	151	-0.3494	7.3273	0.17164
1	152	-0.3501	7.3218	0.17166
1	153	-0.3509	7.3162	0.17168
1	154	-0.3516	7.3107	0.17171
1	155	-0.3523	7.3052	0.17173
1	156	-0.353	7.2997	0.17175
1	157	-0.3537	7.2942	0.17177
1	158	-0.3544	7.2887	0.17179
1	159	-0.3551	7.2833	0.17182
1	160	-0.3558	7.2778	0.17184
1	161	-0.3565	7.2724	0.17186
1	162	-0.3572	7.267	0.17188
1	163	-0.3579	7.2616	0.1719
1	164	-0.3586	7.2562	0.17192
1	165	-0.3592	7.2509	0.17195
1	166	-0.3599	7.2455	0.17197
1	167	-0.3606	7.2402	0.17199
1	168	-0.3613	7.2349	0.17201
1	169	-0.362	7.2296	0.17203
1	170	-0.3627	7.2243	0.17205
1	171	-0.3634	7.219	0.17207
1	172	-0.364	7.2137	0.1721
1	173	-0.3647	7.2085	0.17212
1	174	-0.3654	7.2033	0.17214
1	175	-0.3661	7.1981	0.17216
1	176	-0.3668	7.1929	0.17218
1	177	-0.3674	7.1877	0.1722
1	178	-0.3681	7.1825	0.17222
1	179	-0.3688	7.1773	0.17224
1	180	-0.3694	7.1722	0.17226
1	181	-0.3701	7.1671	0.17228
1	182	-0.3708	7.162	0.17231
1	183	-0.3714	7.1569	0.17233
1	184	-0.3721	7.1518	0.17235
1	185	-0.3728	7.1467	0.17237
1	186	-0.3734	7.1417	0.17239
1	187	-0.3741	7.1366	0.17241
1	188	-0.3748	7.1316	0.17243
1	189	-0.3754	7.1266	0.17245
1	190	-0.3761	7.1216	0.17247
1	191	-0.3767	7.1166	0.17249
1	192	-0.3774	7.1116	0.17251
1	193	-0.378	7.1067	0.17253
1	194	-0.3787	7.1018	0.17255
1	195	-0.3793	7.0968	0.17257
1	196	-0.38	7.0919	0.17259
1	197	-0.3806	7.087	0.17261
1	198	-0.3813	7.0822	0.17263
1	199	-0.3819	7.0773	0.17265
1	200	-0.3826	7.0724	0.17267
1	201	-0.3832	7.0676	0.17269
1	202	-0.3839	7.0628	0.17271
1	203	-0.3845	7.058	0.17273
1	204	-0.3852	7.0532	0.17275
1	205	-0.3858	7.0484	0.17277
1	206	-0.3864	7.0436	0.17279
1	207	-0.3871	7.0389	0.17281
1	208	-0.3877	7.0342	0.17283
1	209	-0.3884	7.0294	0.17285
1	210	-0.389	7.0247	0.17287
1	211	-0.3896	7.0201	0.17289
1	212	-0.3903	7.0154	0.17291
1	213	-0.3909	7.0107	0.17293
1	214	-0.3915	7.0061	0.17295
1	215	-0.3921	7.0014	0.17297
1	216	-0.3928	6.9968	0.17299
1	217	-0.3934	6.9922	0.17301
1	218	-0.394	6.9876	0.17303
1	219	-0.3947	6.983	0.17305
1	220	-0.3953	6.9785	0.17307
1	221	-0.3959	6.9739	0.17309
1	222	-0.3965	6.9694	0.17311
1	223	-0.3971	6.9649	0.17313
1	224	-0.3978	6.9604	0.17315
1	225	-0.3984	6.9559	0.17317
1	226	-0.399	6.9514	0.17319
1	227	-0.3996	6.9469	0.1732
1	228	-0.4002	6.9425	0.17322
1	229	-0.4009	6.9381	0.17324
1	230	-0.4015	6.9336	0.17326
1	231	-0.4021	6.9292	0.17328
1	232	-0.4027	6.9248	0.1733
1	233	-0.4033	6.9205	0.17332
1	234	-0.4039	6.9161	0.17334
1	235	-0.4045	6.9117	0.17336
1	236	-0.4051	6.9074	0.17338
1	237	-0.4058	6.9031	0.1734
1	238	-0.4064	6.8988	0.17341
1	239	-0.407	6.8945	0.17343
1	240	-0.4076	6.8902	0.17345
1	241	-0.4082	6.8859	0.17347
1	242	-0.4088	6.8817	0.17349
1	243	-0.4094	6.8774	0.17351
1	244	-0.41	6.8732	0.17353
1	245	-0.4106	6.869	0.17355
1	246	-0.4112	6.8648	0.17356
1	247	-0.4118	6.8606	0.17358
1	248	-0.4124	6.8564	0.1736
1	249	-0.413	6.8523	0.17362
1	250	-0.4136	6.8481	0.17364
1	251	-0.4142	6.844	0.17366
1	252	-0.4148	6.8399	0.17368
1	253	-0.4154	6.8358	0.1737
1	254	-0.416	6.8317	0.17371
1	255	-0.4166	6.8276	0.17373
1	256	-0.4172	6.8236	0.17375
1	257	-0.4177	6.8195	0.17377
1	258	-0.4183	6.8155	0.17379
1	259	-0.4189	6.8115	0.17381
1	260	-0.4195	6.8074	0.17382
1	261	-0.4201	6.8034	0.17384
1	262	-0.4207	6.7995	0.17386
1	263	-0.4213	6.7955	0.17388
1	264	-0.4219	6.7915	0.1739
1	265	-0.4224	6.7876	0.17392
1	266	-0.423	6.7837	0.17393
1	267	-0.4236	6.7798	0.17395
1	268	-0.4242	6.7759	0.17397
1	269	-0.4248	6.772	0.17399
1	270	-0.4254	6.7681	0.17401
1	271	-0.4259	6.7642	0.17402
